Entry;Positiv;Negativ
A;;
ABANDON;;Negativ
ABANDONMENT;;Negativ
ABATE;;Negativ
ABATEMENT;;
ABDICATE;;Negativ
ABHOR;;Negativ
ABIDE;Positiv;
ABILITY;Positiv;
ABJECT;;Negativ
ABLE;Positiv;
ABNORMAL;;Negativ
ABOARD;;
ABOLISH;;Negativ
ABOLITION;;
ABOMINABLE;;Negativ
ABORTIVE;;
ABOUND;Positiv;
ABOUT;;
ABOUT;;
ABOUT;;
ABOUT;;
ABOUT;;
ABOUT;;
ABOUT;;
ABOVE;;
ABOVE;;
ABOVE;;
ABOVE;;
ABRASIVE;;Negativ
ABROAD;;
ABRUPT;;Negativ
ABSCOND;;Negativ
ABSENCE;;Negativ
ABSENT;;Negativ
ABSENT;;
ABSENT-MINDED;;Negativ
ABSENTEE;;Negativ
ABSOLUTE;;
ABSOLUTE;;
ABSOLVE;Positiv;
ABSORB;;
ABSORB;;
ABSORBENT;Positiv;
ABSORPTION;Positiv;
ABSTAIN;;
ABSTRACT;;
ABSTRACTION;;
ABSURD;;Negativ
ABSURDITY;;Negativ
ABUNDANCE;Positiv;
ABUNDANT;Positiv;
ABUSE;;Negativ
ABUSE;;Negativ
ABYSS;;Negativ
ABYSSINIA;;
ACADEMIC;;
ACADEMY;;
ACCEDE;Positiv;
ACCELERATE;;
ACCELERATION;;
ACCENTUATE;Positiv;
ACCEPT;Positiv;
ACCEPTABLE;Positiv;
ACCEPTANCE;Positiv;
ACCESS;;
ACCESSIBLE;Positiv;
ACCESSION;Positiv;
ACCIDENT;;Negativ
ACCIDENTAL;;
ACCLAIM;Positiv;
ACCLAMATION;Positiv;
ACCOLADE;Positiv;
ACCOMMODATE;Positiv;
ACCOMMODATION;Positiv;
ACCOMPANIMENT;Positiv;
ACCOMPANY;;
ACCOMPANY;;
ACCOMPLISH;Positiv;
ACCOMPLISHMENT;Positiv;
ACCORD;;
ACCORD;Positiv;
ACCORD;Positiv;
ACCORD;;
ACCORD;Positiv;
ACCORDANCE;Positiv;
ACCOST;;Negativ
ACCOUNT;;
ACCOUNT;;
ACCOUNT;;
ACCOUNT;;
ACCOUNT;;
ACCOUNT;;
ACCOUNT;;
ACCOUNT;;
ACCOUNTABLE;Positiv;
ACCRUE;Positiv;
ACCUMULATE;;
ACCUMULATION;;
ACCURACY;Positiv;
ACCURATE;Positiv;
ACCURATENESS;Positiv;
ACCURSED;;Negativ
ACCUSATION;;Negativ
ACCUSE;;Negativ
ACCUSE;;Negativ
ACCUSTOM;;
ACCUSTOM;;
ACHE;;Negativ
ACHIEVE;Positiv;
ACHIEVEMENT;Positiv;
ACKNOWLEDGE;;
ACKNOWLEDGEMENT;Positiv;
ACKNOWLEDGMENT;;
ACQUAINT;Positiv;
ACQUAINTANCE;Positiv;
ACQUIRE;;
ACQUIRE;;
ACQUISITION;;
ACQUIT;Positiv;
ACQUITTAL;Positiv;
ACRE;;
ACRIMONIOUS;;Negativ
ACRIMONY;;Negativ
ACROSS;;
ACROSS;;
ACROSS;;
ACROSS;;
ACROSS;;
ACT;;
ACT;;
ACT;;
ACT;;
ACTION;;
ACTIVE;;
ACTIVE;;
ACTIVITY;;
ACTOR;;
ACTUAL;Positiv;
ACTUAL;Positiv;
ACTUALITY;Positiv;
ACUTE;;
ADAMANT;Positiv;
ADAPT;;
ADAPTABILITY;Positiv;
ADAPTABLE;Positiv;
ADAPTATION;Positiv;
ADAPTIVE;Positiv;
ADD;;
ADD;;
ADDICT;;Negativ
ADDICTION;;Negativ
ADDITION;;
ADDITION;;
ADDITIONAL;;
ADDRESS;;
ADDRESS;;
ADDRESS;;
ADEN;;
ADEPT;Positiv;
ADEPTNESS;Positiv;
ADEQUATE;Positiv;
ADHERE;;
ADHERENCE;Positiv;
ADHERENT;Positiv;
ADHESION;Positiv;
ADHESIVE;Positiv;
ADJACENT;;
ADJOIN;;
ADJOURNMENT;;
ADJUDICATION;;
ADJUNCT;Positiv;
ADJUST;;
ADJUST;Positiv;
ADJUSTABLE;Positiv;
ADJUSTMENT;Positiv;
ADMINISTER;;
ADMINISTRATION;;
ADMINISTRATION;;
ADMINISTRATIVE;;
ADMINISTRATOR;;
ADMIRABLE;Positiv;
ADMIRAL;;
ADMIRAL;;
ADMIRATION;Positiv;
ADMIRE;Positiv;
ADMIRER;Positiv;
ADMISSIBLE;;
ADMISSION;;
ADMIT;Positiv;
ADMIT;Positiv;
ADMIT;Positiv;
ADMITTANCE;Positiv;
ADMONISH;;Negativ
ADMONITION;;Negativ
ADOLESCENT;;
ADOPT;;
ADOPT;;
ADOPTION;;
ADORABLE;Positiv;
ADORE;Positiv;
ADORN;Positiv;
ADORNMENT;Positiv;
ADROIT;Positiv;
